name,artists,id,bpm,genre,key,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,mode,valence,href,uri
Baby Please Don't Go,Big Joe Williams,1vjHFgIdNuLXojpkzysoV8,167.075,acoustic blues; blues; country blues; delta blues; traditional blues,7,0.752,0.499,0.302,0.0266,0.129,-15.15,0.0495,1,0.564,https://api.spotify.com/v1/tracks/1vjHFgIdNuLXojpkzysoV8,spotify:track:1vjHFgIdNuLXojpkzysoV8
She Left Me a Mule to Ride,Big Joe Williams,3Yr90DgXXIdDAJfjFOT2wF,95.114,acoustic blues; blues; country blues; delta blues; traditional blues,6,0.977,0.64,0.368,0.246,0.0781,-15.827,0.0437,1,0.793,https://api.spotify.com/v1/tracks/3Yr90DgXXIdDAJfjFOT2wF,spotify:track:3Yr90DgXXIdDAJfjFOT2wF
"Baby, Please Don't Go",Big Joe Williams,1q3Wy7b4vjwUEUQROuCzfi,172.398,acoustic blues; blues; country blues; delta blues; traditional blues,4,0.684,0.629,0.381,0.0732,0.278,-14.886,0.0929,1,0.533,https://api.spotify.com/v1/tracks/1q3Wy7b4vjwUEUQROuCzfi,spotify:track:1q3Wy7b4vjwUEUQROuCzfi
Rollin' And Tumblin',Big Joe Williams,74tZbUXCBYNhpKsQQknmM1,122.699,acoustic blues; blues; country blues; delta blues; traditional blues,8,0.908,0.677,0.261,0.00221,0.0633,-14.846,0.0579,1,0.672,https://api.spotify.com/v1/tracks/74tZbUXCBYNhpKsQQknmM1,spotify:track:74tZbUXCBYNhpKsQQknmM1
Hang It Up On The Wall,Big Joe Williams,7zpy5zhIKJcpeIo01M1h0G,61.332,acoustic blues; blues; country blues; delta blues; traditional blues,9,0.879,0.543,0.295,0.0297,0.401,-14.895,0.136,1,0.609,https://api.spotify.com/v1/tracks/7zpy5zhIKJcpeIo01M1h0G,spotify:track:7zpy5zhIKJcpeIo01M1h0G
Whistling Pines,Big Joe Williams,1alKhZCSySlc1qSwsCSfAe,96.426,acoustic blues; blues; country blues; delta blues; traditional blues,9,0.883,0.61,0.236,0.00443,0.0685,-13.334,0.041,1,0.721,https://api.spotify.com/v1/tracks/1alKhZCSySlc1qSwsCSfAe,spotify:track:1alKhZCSySlc1qSwsCSfAe
Nobody Knows You When You're Down and Out,Big Joe Williams,4NX7dqs8v6xlc4iiKNhuxg,119.251,acoustic blues; blues; country blues; delta blues; traditional blues,1,0.879,0.663,0.379,0.018,0.816,-17.301,0.0723,0,0.364,https://api.spotify.com/v1/tracks/4NX7dqs8v6xlc4iiKNhuxg,spotify:track:4NX7dqs8v6xlc4iiKNhuxg
Levee Break Blues,Big Joe Williams,3r9N75XI8nSY7o33xYCjZG,101.08,acoustic blues; blues; country blues; delta blues; traditional blues,9,0.892,0.602,0.416,0.017,0.0885,-13.324,0.0785,1,0.652,https://api.spotify.com/v1/tracks/3r9N75XI8nSY7o33xYCjZG,spotify:track:3r9N75XI8nSY7o33xYCjZG
Little Annie Mae,Big Joe Williams,1xjESLuEaYSiVxzC3qeV97,122.592,acoustic blues; blues; country blues; delta blues; traditional blues,5,0.801,0.641,0.284,0.0334,0.318,-15.84,0.129,0,0.542,https://api.spotify.com/v1/tracks/1xjESLuEaYSiVxzC3qeV97,spotify:track:1xjESLuEaYSiVxzC3qeV97
Back Home Blues,Big Joe Williams,78f2T384AhfhhD3Sy9vS5Z,96.636,acoustic blues; blues; country blues; delta blues; traditional blues,0,0.782,0.587,0.208,0.023,0.0863,-15.531,0.0626,1,0.493,https://api.spotify.com/v1/tracks/78f2T384AhfhhD3Sy9vS5Z,spotify:track:78f2T384AhfhhD3Sy9vS5Z
